FamilyName1,FamilyName2,CommonName,AlsoKnownAs,ScientificName,MinSize,MaxSize,AdditionalSizeInfo,PossessionLimit,AdditionalPossessionInfo,SpeciesLimit,SpeciesName,GroupLimit,GroupName,ClosedSeasonDate,AdditionalClosedSeasonInfo,MisIdentified,,Description,AverageGrowth,MaximumGrowth,Distribution,AdditionalInformation,Image1,Caption1,Image2,Caption2,Image3,Caption3
Bream and javelin,N/A,Frypan bream,"King soldierbream
Frying pan snapper",Argyrops spinifer,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Pink snapper,,"the body is predominantly silver to pink turning darker on the head
operculum is usually dark red on the upper part
fins are red",30,70,"Barrier reef waters, central and southern Queensland
bottom-dwelling (wide range of grounds at depths 5 - 100mm)",N/A,http://app.fisheries.qld.gov.au/images/frypan-bream.jpg,N/A,N/A,N/A,N/A,N/A
Bream and javelin,N/A,Pikey bream,Black bream,Acanthopagrus berda,25,N/A,N/A,N/A,N/A,30,"combination of pikey, yellowfin bream and tarwhine",N/A,N/A,N/A,N/A,"Yellowfin bream
Silver javelin",,"grey/dark silver grey or dull olive brown body with silver/brassy reflections while the upper body and base of scales are the darkest
lower part of the head and belly are paler
dark edge along the operculum
spinous dorsal fin has dark edges and the spines are often silvery
pectoral fins are dusky with a yellow tinge
blackish soft dorsal fin, anal fin and pelvic fin
caudal fin is grey with darker, blackish shading
",25,50,"rough and muddy sand grounds in coastal waters in Rockhampton and further north
common in estuaries (to a depth of 50m)
bottom-living fish",N/A,http://app.fisheries.qld.gov.au/images/pikey-bream.jpg,N/A,N/A,N/A,N/A,N/A
Bream and javelin,N/A,Luderick,"Black bream
Blackfish",Girella tricuspidata,30,N/A,N/A,10,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,"a dark bluish grey to greenish grey back
silvery belly
sometimes features dark bars on upper sides
caudal fin is broad and slightly concave
short front dorsal fin connected to higher soft second dorsal fin",30,62,"southern Queensland waters
around hard structures in estauries and coastal areas (to a depth of approx 20m)",N/A,http://app.fisheries.qld.gov.au/images/luderick.jpg,N/A,N/A,N/A,N/A,N/A
Bream and javelin,Snappers and sea perches,Snapper,"Pink snapper
Squire
Knobby
Pinkies
Red bream
",Pagrus auratus,35,N/A,N/A,4,with no more than 1 over 70cm,N/A,N/A,N/A,N/A,N/A,N/A,Yellowfin bream,,"head and upper body are red brown
sides and belly are silvery
the upper sides have numerous small bright blue dots especially prominent in juveniles
fins are red/faint red
caudal fin has a white lower margin",20-40,130,"Capricorn-Bunker Reef groups and south
common on rough grounds (also found on softer bottom grounds)
bottom-living (at depths of 10 - 150m)",N/A,http://app.fisheries.qld.gov.au/images/snapper.jpg,N/A,http://app.fisheries.qld.gov.au/images/snapper-juvenile.jpg,Juvenile,N/A,N/A
Bream and javelin,N/A,Tarwhine,Silver bream,Rhabdosargus sarba,25,N/A,N/A,N/A,N/A,30,"combination of pikey, yellowfin bream and tarwhine",N/A,N/A,N/A,N/A,"Yellowfin bream
Pikey bream",,"bright silver grey body
bright yellow band starting at pelvic fins and flaring upwards and backwards
scales have a golden centre and form longitudinal lines on the body.
Dorsal fin is transparent at base and dusky at the margin
pectoral and pelvic fins are a dusky yellowish green
the anal fin has a transparent base and is yellow towards the margin
lower caudal fin is yellow, with a white shaded tip and lower edge
",28,60,"found along the Queensland coast
occasionally enters estuaries
bottom-living coastal fish (to a depth of 60m)",N/A,http://app.fisheries.qld.gov.au/images/tarwhine.jpg,N/A,N/A,N/A,N/A,N/A
Bream and javelin,N/A,Yellowfin bream,"Sea bream
Silver bream",Acanthopagrus australis,25,N/A,N/A,N/A,N/A,30,"combination of pikey, yellowfin bream and tarwhine",N/A,N/A,N/A,N/A,"Tarwhine
Pikey bream
Black bream
Silver javelin",,"silvery bronze body
pelvic, anal and ventral part of caudal fins (particularly the spines and soft rays) are yellowish and whitish, sometimes with black areas
lateral line with dark blotch at origin
pectoral fins have a dark spot at upper base",25,65,"Townsville and further south
most common in estuaries
also found on inshore reefs, and sandy, muddy and rocky coastal areas
",N/A,http://app.fisheries.qld.gov.au/images/yellowfin-bream.jpg,N/A,N/A,N/A,N/A,N/A
Bream and javelin,N/A,Barred javelin,"Spotted grunter
Javelin fish
Grunter bream
",Pomadasys kaakan,40,N/A,"Gulf of Carpentaria: 40 cm min whole or partially processed length, or 26 cm min fillet length",10,Gulf of Carpentaria: 10 whole fish or 20 fillets,N/A,N/A,N/A,N/A,N/A,N/A,"Silver javelin
Blotched javelin
",,"adults have golden green back, silvery belly with traces of brown vertical bars present only when alive
head is slightly convex
dorsal fins are spinous with spots indistinct or absent and a deep notch between the first and second
juvenile's spinous dorsal fin has black brown spots on lower half and in three rows on the rayed dorsal fin
margin of the soft dorsal fin is darker
lower tip of the caudal fin on juveniles is white
",45,80,"Moreton Bay and further north
coastal inshore waters - open bays and estuaries
rivers to the upper limit of brackish water

",N/A,http://app.fisheries.qld.gov.au/images/barred-javelin.jpg,N/A,N/A,N/A,N/A,N/A
Bream and javelin,N/A,Silver javelin,"Small spotted grunter
Grunter bream
Javelin fish
Spotted grunter
Trumpeter
",Pomadasys argenteus,30,N/A,N/A,10,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Barred javelin,,"silvery body with numerous scattered dark brown to blackish spots
dark blotches on the dorsal fin
juveniles are pale brown with a lighter belly while the back has irregular longitudinal streaks on alternate scale rows
the dorsal fin of juveniles has dusky membranes
dark spot on the gill covers for juveniles
",30,60,"along the Queensland coast
coastal inshore waters (open bays and estuaries)

",N/A,http://app.fisheries.qld.gov.au/images/silver-javelin.jpg,N/A,N/A,N/A,N/A,N/A
Catfish,N/A,Blue catfish,Lesser salmon catfish,N/A,N/A,N/A,N/A,20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Catfish,N/A,Boofhead catfish,Triangular shield catfish,N/A,N/A,N/A,N/A,20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Catfish,N/A,Cooper Creek catfish,N/A,N/A,N/A,N/A,N/A,20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Catfish,N/A,Eel-tailed catfish,N/A,Tandanus tandanus,35,N/A,N/A,N/A,N/A,5,combined limit for all eel-tail catfish species,N/A,N/A,N/A,N/A,N/A,,"greenish brown mottled skin
whitish on the belly
large eel like second dorsal fin starting about the middle of the body
very sharp dorsal and pectoral spines that protrude when captured (caution should be taken as they can cause extreme pain if handled carelessly)",40,90,"widely distributed in the Murray-Darling River system and east coast drainages
often found on sand or gravel bottoms in slow moving streams
often found in stocked impoundments",N/A,http://app.fisheries.qld.gov.au/images/eel-tailed-catfish.jpg,N/A,N/A,N/A,N/A,N/A
Catfish,N/A,Highfin catfish,Berney's catfish,N/A,N/A,N/A,N/A,20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Catfish,N/A,Hyrtl's tandan,N/A,N/A,N/A,N/A,N/A,20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Catfish,N/A,Obbes' catfish,N/A,N/A,N/A,N/A,N/A,20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Catfish,N/A,Rendahl's catfish,N/A,N/A,N/A,N/A,N/A,20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Catfish,N/A,Short-finned catfish,N/A,N/A,N/A,N/A,N/A,20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Catfish,N/A,Silver catfish,Silver tandan,N/A,N/A,N/A,N/A,20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Catfish,N/A,Silver cobbler,Shovel nosed catish,N/A,N/A,N/A,N/A,20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Cods (freshwater),N/A,Bloomfield River cod,Tropical nightfish,Guyu wujalwujalensis,N/A,N/A,No take,N/A,No take,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,"small perch like fish
distinct pores on head and lower jaw
olive to dark green overall colouration (paler on the belly)
head is greenish yellow with two vertical dark bars",N/A,10,"Bloomfield River (north eastern Australia)
shelters in the cover of undercut banks, boulders, logs, snags and submerged root masses during the day",N/A,http://app.fisheries.qld.gov.au/images/bloomfield-river-cod.jpg,N/A,N/A,N/A,N/A,N/A
Cods (freshwater),N/A,Mary River cod,N/A,"Maccullochella peelii mariensis
",N/A,N/A,"No take in all Queensland waters except the stocked impoundments listed below

50cm minimum size limit applies upstream of the walls of Cressbrook, Hinze, Maroon, Moogerah, North Pine, Somerset and Wivenhoe Dams and lakes Dyer (Bill Gunn dam) and Clarendon",N/A,"No take in all Queensland waters except the stocked impoundments listed below.

A possession limit of 1 applies upstream of the walls of Cressbrook, Hinze, Maroon, Moogerah, North Pine, Somerset and Wivenhoe Dams and lakes Dyer (Bill Gunn dam) and Clarendon",N/A,N/A,N/A,N/A,N/A,N/A,Murray cod,,"body colouration; golden yellow to green to dark brown mottling, soft dorsal, anal and caudal fins have thin white margins.
head profile concave, with large mouth, extending back to behind the eye.
reportedly grow to 40kg, but uncommon over 70cm and 5kg",50,120,"restricted to the Mary river catchment 
found in some SEQ stocked impoundments
low flow areas around undercut banks and fallen timber
","If accidentally caught outside the specified stocked impoundments,  immediately and carefully return the fish to the water",http://app.fisheries.qld.gov.au/images/mary-river-cod.jpg,N/A,N/A,N/A,N/A,N/A
Cods (freshwater),N/A,Murray cod,N/A,"Maccullochella peelii peelii

",60,110,N/A,2,N/A,N/A,N/A,N/A,N/A,1 September to 30 November,"in Barwon, Macintyre and Dumaresq rivers",Mary River cod,,"golden yellow to green to dark brown mottling
soft dorsal, anal and caudal fins have thin white margins
head profile concave, with large mouth extending back to behind the eye",65,180,"south western Queensland border lakes and rivers
areas of low flow around undercut banks and fallen timber
",N/A,http://app.fisheries.qld.gov.au/images/murray-cod.jpg,N/A,N/A,N/A,N/A,N/A
Cods (freshwater),N/A,Oblique-banded groper,N/A,"Epinephelus radiatus
",38,N/A,N/A,N/A,N/A,5,combined limit for all cods and groupers,20,combined limit for all coral reef fin fish,"21 October to 25 October

19 November to 23 November",coral reef fin fish closure,N/A,,"similar to the comet grouper but bands are pale with a dark edge
indistinct oblique lines of dots between the bands",N/A,N/A,N/A,N/A,http://app.fisheries.qld.gov.au/images/oblique-banded-groper.jpg,N/A,N/A,N/A,N/A,N/A
Cods (freshwater),N/A,Sleepy cod,Sleeper,"Oxyeleotris lineolatus
",N/A,N/A,N/A,20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,"colouration is dark to light brown with spotted fins
the head is flattened and the body elongated
",20,45,"weedy, timbered and quiet areas
stocked in a number of northern impoundments",N/A,http://app.fisheries.qld.gov.au/images/sleepy-cod.jpg,N/A,N/A,N/A,N/A,N/A
Cods and groupers,N/A,Areolate rockcod,N/A,Epinephelus areolatus,38,N/A,N/A,N/A,N/A,5,combined limit for all cods and groupers,20,combined limit for all coral reef fin fish,"21 October to 25 October

19 November to 23 November",coral reef fin fish closure,N/A,,"pale body
covered by large golden brown spots (sometimes forming a honeycomb pattern)
spots extend onto all fins
a truncate tail with a white margin is typical",N/A,N/A,N/A,N/A,http://app.fisheries.qld.gov.au/images/areolate-rockcod.jpg,N/A,N/A,N/A,N/A,N/A
Cods and groupers,N/A,Bar rockcod,N/A,Epinephelus ergastularius,38,N/A,N/A,N/A,N/A,5,combined limit for all cods and groupers,20,combined limit for all coral reef fin fish,"21 October to 25 October

19 November to 23 November",coral reef fin fish closure,N/A,,"juveniles and small adults have seven distinct vertical bands which fade with age
large adults are uniformly grey brown
tail is truncated with a pale bar on the base of the tail",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Cods and groupers,N/A,Barramundi cod,N/A,Cromileptes altivelis,N/A,N/A,No take,N/A,No take,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,"pale grey and black spots all over the body and fins
small head and humped back
similar to barramundi in shape
dark blotches may appear on the body when the fish is startled or stressed",N/A,N/A,N/A,N/A,http://app.fisheries.qld.gov.au/images/barramundi-cod.jpg,N/A,http://app.fisheries.qld.gov.au/images/barramundi-cod-2.jpg,N/A,http://app.fisheries.qld.gov.au/images/barramundi-cod-juvenile.jpg,Juvenile
Cods and groupers,N/A,Bass groper,N/A,Polyprion americanus,38,N/A,N/A,N/A,N/A,5,combined limit for all cods and groupers,20,combined limit for all coral reef fin fish,"21 October to 25 October

19 November to 23 November",coral reef fin fish closure,N/A,,"grey with a distinctive body ridge running horizontally along the upper edge of the gill cover, ending in a blunt spine
body is broad for its length (almost oval shaped)
rounded snout
the lower jaw is not markedly protruding compared to the hapuku",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Cods and groupers,N/A,Blackspotted rockcod (estuary),"Blackspotted estuary cod
Malabar cod
Mogan's cod","Epinephelus malabaricus
",38,120,N/A,N/A,N/A,5,combined limit for all cods and groupers,N/A,N/A,N/A,N/A,"Greasy cod
Goldspotted rockcod",,"body and head are brownish and covered with small, well separated, blackish brown spots (extending onto chest, lower jaw, roof of mouth); also covered with scattered white spots and blotches
fins have blackish brown spots which extend onto fin membranes",40,115,"coral and rocky reefs
tide pools, estuaries, mangrove swamps",N/A,http://app.fisheries.qld.gov.au/images/blackspotted-rockcod.jpg,N/A,N/A,N/A,N/A,N/A
Cods and groupers,N/A,Black-tipped rockcod,N/A,Epinephelus fasciatus,38,N/A,N/A,N/A,N/A,5,combined limit for all cods and groupers,20,combined limit for all coral reef fin fish,"21 October to 25 October

19 November to 23 November",coral reef fin fish closure,N/A,,"red brown to bright red fish with darker vertical bars
dorsal spine tips are black and white (the white becomes less obvious with size and age)",N/A,N/A,N/A,N/A,http://app.fisheries.qld.gov.au/images/black-tipped-rockcod.jpg,N/A,http://app.fisheries.qld.gov.au/images/black-tipped-rockcod-underwater.jpg,N/A,N/A,N/A
Cods and groupers,N/A,Blacksaddle rockcod,N/A,Epinephelus howlandi,38,N/A,N/A,N/A,N/A,5,combined limit for all cods and groupers,20,combined limit for all coral reef fin fish,"21 October to 25 October

19 November to 23 November",coral reef fin fish closure,N/A,,"pale grey brown
black spots covering head, body and all fins except pectoral fin
distinct saddle blotches along the posterior part of back",N/A,N/A,N/A,N/A,http://app.fisheries.qld.gov.au/images/blacksaddle-rockcod.jpg,N/A,N/A,N/A,N/A,N/A
Cods and groupers,N/A,Blue Maori,N/A,Epinephelus cyanopodus,38,N/A,N/A,N/A,N/A,5,combined limit for all cods and groupers,20,combined limit for all coral reef fin fish,"21 October to 25 October

19 November to 23 November",coral reef fin fish closure,N/A,,"pale purple or blue in colour
small black dots cover the entire fish
often irregular dark blotches over the dots
smaller fish have a black band on the end of the tail fin",N/A,N/A,N/A,N/A,http://app.fisheries.qld.gov.au/images/blue-maori-rockcod.jpg,N/A,http://app.fisheries.qld.gov.au/images/blue-maori-rockcod-juvenile.jpg,Juvenile,N/A,N/A
Cods and groupers,N/A,Blue-lined rockcod,N/A,Cephalopholis formosa,38,N/A,N/A,N/A,N/A,5,combined limit for all cods and groupers,20,combined limit for all coral reef fin fish,"21 October to 25 October

19 November to 23 November",coral reef fin fish closure,N/A,,"thin, blue horizontal lines cover the fish from the eyes to the tip of the tail and over the fins
a large, dark spot is visible on the upper edge of the gill cover",N/A,N/A,N/A,N/A,http://app.fisheries.qld.gov.au/images/blue-lined-rockcod.jpg,N/A,N/A,N/A,N/A,N/A
Cods and groupers,N/A,Blue-spotted rockcod,N/A,Cephalopholis cyanostigma,38,N/A,N/A,N/A,N/A,5,combined limit for all cods and groupers,20,combined limit for all coral reef fin fish,"21 October to 25 October

19 November to 23 November",coral reef fin fish closure,N/A,,"pale brown to dark blue grey
dark rimmed pale blue dots all over the body and fins
soft dorsal, anal and tail fins with a pale blue edge
orange pectoral and pelvic fins are covered with dots",N/A,N/A,N/A,N/A,http://app.fisheries.qld.gov.au/images/blue-spotted-rockcod.jpg,N/A,http://app.fisheries.qld.gov.au/images/blue-spotted-rockcod-juvenile.jpg,Juvenile,N/A,N/A
Cods and groupers,N/A,Brown-barred rockcod,N/A,Cephalopholis boenak,38,N/A,N/A,N/A,N/A,5,combined limit for all cods and groupers,20,combined limit for all coral reef fin fish,"21 October to 25 October

19 November to 23 November",coral reef fin fish closure,N/A,,"predominantly brown grey in colour with eight or more darker brown (vertically aligned) bars
large spot on gill cover",N/A,N/A,N/A,N/A,http://app.fisheries.qld.gov.au/images/brown-barred-rockcod.jpg,N/A,N/A,N/A,N/A,N/A
Cods and groupers,N/A,Camouflage grouper,N/A,Epinephelus polyphekadion,50,70,N/A,N/A,N/A,5,combined limit for all cods and groupers,20,combined limit for all coral reef fin fish,"21 October to 25 October

19 November to 23 November",coral reef fin fish closure,N/A,,"predominantly a brown coloured fish
abundant in small dark dots
patches of dark brown and cream white
distinctive saddle blotch on the base of the tail",N/A,N/A,N/A,N/A,http://app.fisheries.qld.gov.au/images/camouflage-grouper.jpg,N/A,http://app.fisheries.qld.gov.au/images/camouflage-grouper-juvenile.jpg,Juvenile,N/A,N/A
Cods and groupers,N/A,Chinaman rockcod,N/A,Epinephelus rivulatus,38,N/A,N/A,N/A,N/A,5,combined limit for all cods and groupers,20,combined limit for all coral reef fin fish,"21 October to 25 October

19 November to 23 November",coral reef fin fish closure,N/A,,"red to brown
each body scale has a small white dot creating a peppered appearance
body bars are oblique rather than vertical
white blotches on throat and chest are typical",N/A,N/A,N/A,N/A,http://app.fisheries.qld.gov.au/images/chinaman-rockcod.jpg,N/A,N/A,N/A,N/A,N/A
Cods and groupers,N/A,Comet grouper,N/A,Epinephelus morrhua,38,N/A,N/A,N/A,N/A,5,combined limit for all cods and groupers,20,combined limit for all coral reef fin fish,"21 October to 25 October

19 November to 23 November",coral reef fin fish closure,N/A,,"distinctive oblique bands run from the snout to the upper body
the lower band is made up of a series of horizontal blotches",N/A,N/A,N/A,N/A,http://app.fisheries.qld.gov.au/images/comet-grouper.jpg,N/A,N/A,N/A,N/A,N/A
Cods and groupers,N/A,Coral cod,N/A,Cephalopholis miniata,38,N/A,N/A,N/A,N/A,5,combined limit for all cods and groupers,20,combined limit for all coral reef fin fish,"21 October to 25 October

19 November to 23 November",coral reef fin fish closure,N/A,,"red body covered in blue dots (except on pelvic and pectoral fins)
yellow edge on the pectoral fin",N/A,N/A,N/A,N/A,http://app.fisheries.qld.gov.au/images/coral-cod.jpg,N/A,http://app.fisheries.qld.gov.au/images/coral-cod-juvenile.jpg,Juvenile,N/A,N/A
Cods and groupers,N/A,Coral rockcod,N/A,Epinephelus corallicola,38,N/A,N/A,N/A,N/A,5,combined limit for all cods and groupers,20,combined limit for all coral reef fin fish,"21 October to 25 October

19 November to 23 November",coral reef fin fish closure,N/A,,"similar to Blacksaddle rockcod with spots that are more widely spaced
spots cover the pectoral fin
saddle blotches are present along the back of the fish",N/A,N/A,N/A,N/A,http://app.fisheries.qld.gov.au/images/coral-rockcod.jpg,N/A,N/A,N/A,N/A,N/A
Cods and groupers,N/A,Dothead rockcod,N/A,Cephalopholis microprion,38,N/A,N/A,N/A,N/A,5,combined limit for all cods and groupers,20,combined limit for all coral reef fin fish,"21 October to 25 October

19 November to 23 November",coral reef fin fish closure,N/A,,"dark brown grey
each scale has a light spot and dark margins
the head is covered with evenly spaced blue dots with dark outlines",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Cods and groupers,N/A,Dwarf spotted rockcod,Wire netting cod,"Epinephelus merra
",38,N/A,N/A,N/A,N/A,5,combined limit for all cods and groupers,20,combined limit for all coral reef fin fish,"21 October to 25 October

19 November to 23 November",coral reef fin fish closure,N/A,,"spots on face are dark and obvious
fins are edged with yellow or cream
pectoral fins are distinctly spotted",N/A,N/A,N/A,N/A,http://app.fisheries.qld.gov.au/images/dwarf-spotted-rockcod.jpg,N/A,http://app.fisheries.qld.gov.au/images/dwarf-spotted-rockcod-underwater.jpg,N/A,N/A,N/A
Cods and groupers,N/A,Eight bar grouper,N/A,Epinephelus octofasciatus,38,N/A,N/A,N/A,N/A,5,combined limit for all cods and groupers,20,combined limit for all coral reef fin fish,"21 October to 25 October

19 November to 23 November",coral reef fin fish closure,N/A,,"eight pale bars on juveniles and young adults
large adults are uniformly grey brown with a dark tail saddle blotch",N/A,N/A,N/A,N/A,http://app.fisheries.qld.gov.au/images/eight-bar-grouper.jpg,N/A,N/A,N/A,N/A,N/A
Cods and groupers,N/A,Flagtail rockcod,N/A,"Cephalopholis urodeta
",38,N/A,N/A,N/A,N/A,5,combined limit for all cods and groupers,20,combined limit for all coral reef fin fish,"21 October to 25 October

19 November to 23 November",coral reef fin fish closure,N/A,,"distinctive white bands on the tail fin
large red to brown spot on the top edge of the gill cover in most specimens
pectoral fins are usually yellow",N/A,N/A,N/A,N/A,http://app.fisheries.qld.gov.au/images/flagtail-rockcod.jpg,N/A,N/A,N/A,N/A,N/A
Cods and groupers,N/A,Flowery rockcod,N/A,"Epinephelus fuscoguttatus
",50,70,N/A,N/A,N/A,5,combined limit for all cods and groupers,20,combined limit for all coral reef fin fish,"21 October to 25 October

19 November to 23 November",coral reef fin fish closure,N/A,,"pale brown
spotted all over with irregular dark blotches (flowers)
humped nape and small eyes",N/A,N/A,N/A,N/A,http://app.fisheries.qld.gov.au/images/flowery-rockcod.jpg,N/A,N/A,N/A,N/A,N/A
Cods and groupers,N/A,Four saddle rockcod,N/A,"Epinephelus spilotoceps
",38,N/A,N/A,N/A,N/A,5,combined limit for all cods and groupers,20,combined limit for all coral reef fin fish,"21 October to 25 October

19 November to 23 November",coral reef fin fish closure,N/A,,"four saddles usually present along back from middle of dorsal fin to base of tail
spots form a wire netting pattern over the body and fins",N/A,N/A,N/A,N/A,http://app.fisheries.qld.gov.au/images/foursaddle-rockcod.jpg,N/A,http://app.fisheries.qld.gov.au/images/foursaddle-rockcod-juvenile-and-subadult.jpg,Juvenile and subadult,N/A,N/A
